vendor_row_id,canonical_brand_name,source_brand_variants,company_name,company_pt,website_url,instagram_url,address,action,matched_existing_hint,source_sheet,source_rows,source_checksum
v0001,Abcon,Abcon,,,https://abconindonesia.com,https://www.instagram.com/abcon.indonesia/,"Jakarta, Surabaya, Bali",INSERT_NEW,,List,2,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0002,Acourete,Acourete,,,https://acourete.com/,https://www.instagram.com/acourete/,Jakarta,INSERT_NEW,,List,3,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0003,Acqua Trend,Acqua Trend,,PT Cipta Sani Lestari,https://acquatrend.com,https://www.instagram.com/acquatrend_bathroom/,Jakarta,INSERT_NEW,,List,4;5,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0004,Adiguna Masonry Indonesia,Adiguna Masonry Indonesia,,,https://www.adigunamasonry.co.id/,https://www.instagram.com/Masonry.id,Jakarta,INSERT_NEW,,List,469,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0005,Aetrio,Aetrio,,CV Afif Jaya Group,https://afifjayafurniture.com,https://www.instagram.com/afifjayafurniture/,Jepara,INSERT_NEW,,List,6;7,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0006,Agglotech,Agglotech,,,https://mmgalleri.id/agglotech/,,"Jakarta, Surabaya, Bali",INSERT_NEW,,List,8,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0007,Agora,Agora,,,https://agorabuildingmaterials.co.id/,https://www.instagram.com/agoraceramicroofing_/,Jakarta,INSERT_NEW,,List,9,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0008,Aiga,Aiga,,,,https://www.instagram.com/aigaindonesia/?hl=en,Jakarta,INSERT_NEW,,List,10,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0009,Alco Blind,Alco Blind,,PT Alco Sarijaya,,https://www.instagram.com/alco.blind/?hl=en,"Jakarta, Bali",INSERT_NEW,,List,11,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0010,Allegra,Allegra,,,https://alegraaluminio.com/,https://www.instagram.com/alegra.aluminio/,Jakarta,INSERT_NEW,,List,12,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0011,Allurahomefabrics,Allurahomefabrics,,,,https://www.instagram.com/allurahomefabrics/?hl=en,Jakarta,INSERT_NEW,,List,13,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0012,Almafloor,Almafloor,,,https://almaflor.id/,https://www.instagram.com/almaflor.id/?hl=en,"Jakarta, Jawa tengah, DIY",INSERT_NEW,,List,14,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0013,Aluveen,Aluveen,,PT Exinergy Mitra Inovasi (EMI),https://www.aluveen.co.id/home.html,https://www.instagram.com/aluveen/,Tangerang selatan,INSERT_NEW,,List,15,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
