vendor_row_id,canonical_brand_name,contact_person,contact_role,phone_number,email,source_sheet,source_row,note
v0001,Abcon,Office,Office,081239399818; 082129289979,,List,2,contact_person = label departemen (tidak ada nama orang di sumber)
v0002,Acourete,Office,Office,08119260555,,List,3,contact_person = label departemen (tidak ada nama orang di sumber)
v0003,Acqua Trend,Office,Office,(021) 5720381/2,,List,4,contact_person = label departemen (tidak ada nama orang di sumber)
v0005,Aetrio,Office,Office,081231238808,,List,6,contact_person = label departemen (tidak ada nama orang di sumber)
v0006,Agglotech,Office,Office,081188881982; 08113000755; 083879745830,,List,8,contact_person = label departemen (tidak ada nama orang di sumber)
v0007,Agora,Reny marketing,General,081310062976,,List,9,
v0008,Aiga,Admin,Admin,081804567006,,List,10,contact_person = label departemen (tidak ada nama orang di sumber)
v0009,Alco Blind,Office,Office,082321979275,,List,11,contact_person = label departemen (tidak ada nama orang di sumber)
v0010,Allegra,Office,Office,082299972288,,List,12,contact_person = label departemen (tidak ada nama orang di sumber)
v0011,Allurahomefabrics,Office,Office,087776052218,,List,13,contact_person = label departemen (tidak ada nama orang di sumber)
v0012,Almafloor,Office,Office,081216668090,,List,14,contact_person = label departemen (tidak ada nama orang di sumber)
v0013,Aluveen,Alloisius Febri Haryanto,General,087733624875; 0817896789,,List,15,
v0014,Amardeep Interior,Office,Office,081584845163,,List,16,contact_person = label departemen (tidak ada nama orang di sumber)
v0015,Amidoorlight,Jason Choi,General,08121254111,,List,17,
v0016,Antikmebel,Office,Office,085711399923,,List,18,contact_person = label departemen (tidak ada nama orang di sumber)
v0017,Architech Indonesia,Sales,Sales,08118133200,,List,19,contact_person = label departemen (tidak ada nama orang di sumber)
v0018,Arcomarmer,Office,Office,0811179440,,List,20,contact_person = label departemen (tidak ada nama orang di sumber)
v0019,Arde,Office,Office,085774002628,,List,22,contact_person = label departemen (tidak ada nama orang di sumber)
v0020,Ardente lightning,Office,Office,081288853142,,List,23,contact_person = label departemen (tidak ada nama orang di sumber)
v0021,Armonia Paint,Office,Office,081281800333; 0811947594,,List,24,contact_person = label departemen (tidak ada nama orang di sumber)
v0022,Arna,Sales,Sales,02158358118,,List,25,contact_person = label departemen (tidak ada nama orang di sumber)
v0023,Artemi Zenith,Office,Office,082140887886,,List,26,contact_person = label departemen (tidak ada nama orang di sumber)
v0024,Artisanwood,Office,Office,08118455800; 08111755800,,List,28,contact_person = label departemen (tidak ada nama orang di sumber)
v0025,Arturo Paint,Office,Office,08111886236,,List,29,contact_person = label departemen (tidak ada nama orang di sumber)
v0027,Ashetiles,Office,Office,087883632349,,List,30,contact_person = label departemen (tidak ada nama orang di sumber)
v0028,Astana ID,Office,Office,081519960944,,List,31,contact_person = label departemen (tidak ada nama orang di sumber)
v0029,Ataya,Office,Office,081216976393,,List,32,contact_person = label departemen (tidak ada nama orang di sumber)
v0030,Ateja,Head Office,Head Office,08226866320,,List,33,contact_person = label departemen (tidak ada nama orang di sumber)
v0031,Ateson Home,Office,Office,081288882240,,List,34,contact_person = label departemen (tidak ada nama orang di sumber)
v0032,Atipa,Office,Office,085183105120,,List,37,contact_person = label departemen (tidak ada nama orang di sumber)
v0033,Avere,Office,Office,081319819811,,List,38,contact_person = label departemen (tidak ada nama orang di sumber)
v0034,Balian Decorative,Laila Farmin,General,08118693986,,List,39,
