vendor_row_id,canonical_brand_name,category_raw,tags,product_family_name,reference_url,folder_url,source_notes,jess_status,curated_by,active_status,verified_at,source_sheet,source_row,source_checksum,needs_review_multiline
v0001,Abcon,Window,"[""Window""]",Roller Blind,,https://drive.google.com/file/d/1ANDeiDYpYRJqI394RT0y7o-aA7UJF7f4/view,,VERIFIED_GREEN,Jessica,ACTIVE,,List,2,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0002,Acourete,Materials,"[""Materials""]",Noice Control,"https://acourete.com/wp-content/uploads/2024/12/Katalog-Akustika-Bangunan_24.07.pdf

https://acourete.com/wp-content/uploads/2024/12/Katalog-Akustika-Arsitektur_24.04.pdf?fbclid=PARlRTSAM4idRleHRuA2FlbQIxMQABpz3ZLo0Qz2aRfdcIhGkSh3iI7k2CO11-esouOcv0WhBnrr6VypdP8syzp9zY_aem_9iixCgC4-D54GOE9kR4j0Q",,,VERIFIED_GREEN,Jessica,ACTIVE,,List,3,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0003,Acqua Trend,Sanitary,"[""Sanitary""]",Bathroom,"https://acquatrend.com/product.php

https://www.tokopedia.com/acquatrend?source=universe&st=product",,,VERIFIED_GREEN,Jessica,ACTIVE,,List,4,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0003,Acqua Trend,Sanitary,"[""Sanitary""]",Bathroom Accessories,"https://acquatrend.com/product.php

https://www.tokopedia.com/acquatrend?source=universe&st=product",,,VERIFIED_GREEN,Jessica,ACTIVE,,List,5,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0005,Aetrio,Furniture,"[""Furniture""]",Furniture,https://afifjayafurniture.com/shop/,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,6,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0005,Aetrio,Sanitary,"[""Sanitary""]",,"https://aetrio.com
https://www.tokopedia.com/aetrio/product",KATALOG AETRIO 2025.pdf,,VERIFIED_GREEN,Jessica,ACTIVE,,List,7,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0006,Agglotech,Finishing,"[""Finishing""]",Stones,https://mmgalleri.com/natural/?c=surabaya&material=marble,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,8,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0007,Agora,Flooring,"[""Flooring""]",Stones,,https://drive.google.com/drive/folders/1NUWs7cJx0be8NGALtXlAHXKlEDZNEuFh?usp=drive_link,,VERIFIED_GREEN,Jessica,ACTIVE,,List,9,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0008,Aiga,Tiles,"[""Tiles""]",Mosaic,https://drive.google.com/file/d/1ERnQ27orJ5l4Q3zxWcQXdrDnfzEgq5HX/view?usp=drivesdk,https://drive.google.com/file/d/1J-v20LTKajuHL7NpbFjE3Bto_OMWqBZs/view?usp=drivesdk,IG & Web tidak bisa dibuka,UNREACHABLE_DARKRED,,ARCHIVED,,List,10,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0009,Alco Blind,Window,"[""Window""]",Roller Blind,,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,11,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0010,Allegra,Door & Window,"[""Door & Window""]",Aluminium Door & Window,https://alegraaluminio.com/products/,,,VERIFIED_GREEN,Jessica,ACTIVE,,List,12,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
v0011,Allurahomefabrics,Fabric,"[""Fabric""]","Curtain, Cushions, Wallcovering, Upholstery, Rugs",,Allurahomefabrics,,VERIFIED_GREEN,Jessica,ACTIVE,,List,13,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE,
