source_sheet,source_row,source_number,category_raw,brand_raw,type_raw,motif_raw,rack_number,box_number,status,current_borrower_name,notes,source_checksum
Sheet1,4,1,Tile,Artile,Cosmo,spring,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,5,2,Tile,Artile,Terrain,Montana,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,6,3,Tile,Artile,Cosmo,Summer,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,7,4,Tile,Artile,Terrain,Gravel,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,8,5,Tile,Artile,Cosmo,Winter,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,9,6,Tile,Artile,Cosmo,Blossom,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,10,7,Tile,Artile,Forte,Colori,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,11,8,Tile,Artile,Terrain,Brezza,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,12,9,Tile,Artile,Forte,Dusk,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,13,10,Tile,Artile,Sanctuary,Sanctum,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,14,11,Tile,Artile,Sanctuary,Haven,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,15,12,Tile,Artile,Sanctuary,Gain,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,16,13,Tile,Artile,Maison,White Birch Wood,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,17,14,Tile,Artile,Sanctuary,Space,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,18,15,Tile,Artile,Forte,Dawn,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,19,16,Tile,Artile,Maison,Brown Pine wood,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,20,17,Tile,Artile,Outback,Wombat,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,21,18,Tile,Artile,Outback,Brumby,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,22,19,Tile,Artile,Outback,Wallaby,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,23,20,Tile,Artile,Outback,Dingo,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,24,21,Tile,Salsa,Oasis,Pearl white,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,25,22,Tile,Salsa,Crystal,Pearl white,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,26,23,Tile,Artile,Maison,Natural oak wood,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,27,24,Tile,Artile,Sanctuary,Nebula,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,28,25,Tile,Artile,Sanctuary,Gaia,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,29,26,Tile,Artile,Sanctuary,Space,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,30,27,Tile,Artile,Sanctuary,Stella,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
Sheet1,31,28,Tile,Artile,Sanctuary,Haven,1,1,AVAILABLE,,,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
