vendor_key,vendor_name,legal_name,address,notes,source_sheet,source_rows,source_checksum
ven_2c42a873619b,Abcon,,"Jakarta, Surabaya, Bali",,List,2,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e6b9fab18b8e,Acourete,,Jakarta,,List,3,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_5e85416296ce,Acqua Trend,PT Cipta Sani Lestari,Jakarta,,List,4;5,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_a2b387634fb0,Adiguna Masonry Indonesia,,Jakarta,,List,469,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_c63cbc0208b0,Aetrio,CV Afif Jaya Group,Jepara,,List,6;7,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_76a4d65604ad,Agglotech,,"Jakarta, Surabaya, Bali",,List,8,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f7070d57bbe5,Agora,,Jakarta,,List,9,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_68d29c339696,Aiga,,Jakarta,,List,10,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_85f795e6c187,Alco Blind,PT Alco Sarijaya,"Jakarta, Bali",,List,11,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_82150fbdf006,Allegra,,Jakarta,,List,12,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e965b0293fa7,Allurahomefabrics,,Jakarta,,List,13,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_6c22d8aee4be,Almafloor,,"Jakarta, Jawa tengah, DIY",,List,14,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_4362c9e06613,Aluveen,PT Exinergy Mitra Inovasi (EMI),Tangerang selatan,,List,15,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_7ec85c46278e,Amardeep Interior,,Jakarta,,List,16,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_155e8b073459,Amidoorlight,PT AMI (Aera Mitra Indonesia),Jakarta,,List,17,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_eaa1cfe59761,Antikmebel,,Jakarta,,List,18,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_4482ca81f4e5,Architech Indonesia,,Jakarta,,List,19,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_8eda3f28e9de,Arcomarmer,PT Arcobaleno Gramarindo,Jakarta,,List,20;21,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f6a025a0224b,Arde,,Jakarta,,List,22,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f06965c558f1,Ardente lightning,,Jakarta,,List,23,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_4e8a7f35531a,Armonia Paint,,"Jakarta, Bali",,List,24,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_795f1b827bd0,Arna,,Jakarta,,List,25,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_08e64401daf2,Artemi Zenith,PT Artemi Zenith International,"Jakarta, Surabaya",,List,26;27,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_79b94f083126,Artisanwood,,"Jakarta, Surabaya",,List,28,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_2be6af814443,Arturo Paint,PT Sapta Kurnia Kimia Abadi,"Jakarta, Bandung",,List,29,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_c65af8319e3f,Ashetiles,,Tangerang,,List,30,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f33cfa0216cd,Astana ID,,Jakarta,,List,31,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_1a0c16850796,Ataya,,Malang,,List,32,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_30c584c63614,Ateja,,Bandung,,List,33,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_ca6b032dc4e1,Ateson Home,,"Jakarta, Bandung, Bali",,List,34;35;36,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_1c5b517de9c2,Atipa,PT Adiwarna Pratama Indonesia,Jakarta,,List,37,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d85c8f805358,Avere,,Jakarta,,List,38,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_69cf8458ee23,Balian Decorative,PT Mega Kapuas Dinamik,Jakarta,,List,39;40;41;42,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e89b09934b29,Bambusa Bali,,Bali,,List,43,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_8a5ef25edfd4,Bata Antasari 34,,Jakarta,,List,44,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_3a94be355dc9,Batara Living,,Jakarta,,List,45,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_049e84c86326,Batavia Living Furniture,,Jakarta,,List,46,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_777799fa8927,BDA Group,PT Bangun Delta Abadi,Jakarta,,List,47;48;49;50;51,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_1062cd9aa659,Bell Living Lab,PT Kurva Lonceng Khatulistiwa,Bandung,,List,52,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d736b0e83afa,Ben Wood,PT Rumah Kayu Kita,Jakarta,,List,53,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_6addd4403159,Beninca,PT Lautan Cipta Kreasi,Jakarta,,List,54,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_483235d4faaa,Beta Living,,Jakarta,,List,55,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_6f3815f1a7a8,Beyond Floor,,Jakarta,,List,56,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
