vendor_key,contact_person,contact_role,phone_number,email,source_sheet,source_row
ven_2c42a873619b,Office,Office,081239399818; 082129289979,,List,2
ven_e6b9fab18b8e,Office,Office,08119260555,,List,3
ven_5e85416296ce,Office,Office,(021) 5720381/2,,List,4
ven_c63cbc0208b0,Office,Office,081231238808,,List,6
ven_76a4d65604ad,Office,Office,081188881982; 08113000755; 083879745830,,List,8
ven_f7070d57bbe5,Reny marketing,,081310062976,,List,9
ven_68d29c339696,Admin,Admin,081804567006,,List,10
ven_85f795e6c187,Office,Office,082321979275,,List,11
ven_82150fbdf006,Office,Office,082299972288,,List,12
ven_e965b0293fa7,Office,Office,087776052218,,List,13
ven_6c22d8aee4be,Office,Office,081216668090,,List,14
ven_4362c9e06613,Alloisius Febri Haryanto,,087733624875; 0817896789,,List,15
ven_7ec85c46278e,Office,Office,081584845163,,List,16
ven_155e8b073459,Jason Choi,,08121254111,,List,17
ven_eaa1cfe59761,Office,Office,085711399923,,List,18
ven_4482ca81f4e5,Sales,Sales,08118133200,,List,19
ven_8eda3f28e9de,Office,Office,0811179440,,List,20
ven_f6a025a0224b,Office,Office,085774002628,,List,22
ven_f06965c558f1,Office,Office,081288853142,,List,23
ven_4e8a7f35531a,Office,Office,081281800333; 0811947594,,List,24
ven_795f1b827bd0,Sales,Sales,02158358118,,List,25
ven_08e64401daf2,Office,Office,082140887886,,List,26
ven_79b94f083126,Office,Office,08118455800; 08111755800,,List,28
ven_2be6af814443,Office,Office,08111886236,,List,29
ven_c65af8319e3f,Office,Office,087883632349,,List,30
ven_f33cfa0216cd,Office,Office,081519960944,,List,31
ven_1a0c16850796,Office,Office,081216976393,,List,32
ven_30c584c63614,Head Office,,08226866320,,List,33
ven_ca6b032dc4e1,Office,Office,081288882240,,List,34
ven_1c5b517de9c2,Office,Office,085183105120,,List,37
ven_d85c8f805358,Office,Office,081319819811,,List,38
ven_69cf8458ee23,Laila Farmin,,08118693986,,List,39
ven_e89b09934b29,Office,Office,085963019595,,List,43
ven_8a5ef25edfd4,Admin,Admin,087878732532,,List,44
ven_3a94be355dc9,Sales,Sales,08119231154,,List,45
ven_049e84c86326,Office,Office,08158907380,,List,46
ven_777799fa8927,Office,Office,02162306450,,List,47
ven_1062cd9aa659,Office,Office,089654283197,,List,52
ven_d736b0e83afa,Office,Office,085817273261,,List,53
ven_6addd4403159,Sales,Sales,081288833000,,List,54
ven_483235d4faaa,Office,Office,082267779884,,List,55
ven_6f3815f1a7a8,Berkat Dekor,,087884907000,,List,56
ven_bfd7c0b552fe,Office,Office,08170655556,,List,57
ven_a0247b3dc1d3,Office,Office,081703135757,,List,58
ven_274825f0f66e,Sales,Sales,0216909893,,List,59
ven_53350e5acd3d,Yohan Satya,,08118889751,,List,60
ven_435d2affb78f,Office,Office,08118716937,,List,61
ven_a89a8486d095,Sales Agung,,085212688585; 08971096601,,List,62
ven_590f5ec48334,Andray Saputra/ Admin,,081120209000,,List,63
ven_dd2051ab9f98,Office,Office,085283862265,,List,64
ven_dd2051ab9f98,Erna,,085182595526,,List,65
ven_8d4b98b9edbe,Office,Office,081287875821; 085885775777,,List,67
ven_b205a60c720b,Admin,Admin,082173705688,,List,69
ven_f67e0d29303c,Sales,Sales,081295291233,,List,70
