candidate_key,source_context,source_sheet,source_rows,vendor_key_candidate,vendor_key_confirmed,brand_candidate,brand_confirmed,category_tags_candidate,category_tags_confirmed,source_product_or_type,product_name_confirmed,sku_confirmed,motif_candidate,reference_url_candidate,folder_url_candidate,price_before_discount,price_after_discount,price_unit,material_status,bq_status,blocker_reasons,decision_notes
matcand_list_r0002,LIST_DIRECTORY,List,2,ven_2c42a873619b,,Abcon,,Window|Roller Blind,,Roller Blind,,,,,https://drive.google.com/file/d/1ANDeiDYpYRJqI394RT0y7o-aA7UJF7f4/view,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0003,LIST_DIRECTORY,List,3,ven_e6b9fab18b8e,,Acourete,,Materials|Noice Control,,Noice Control,,,,https://acourete.com/wp-content/uploads/2024/12/Katalog-Akustika-Bangunan_24.07.pdf,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0004,LIST_DIRECTORY,List,4,ven_5e85416296ce,,Acqua Trend,,Sanitary|Bathroom,,Bathroom,,,,https://acquatrend.com/product.php,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0005,LIST_DIRECTORY,List,5,ven_5e85416296ce,,Acqua Trend,,Sanitary|Bathroom Accessories,,Bathroom Accessories,,,,https://acquatrend.com/product.php,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0006,LIST_DIRECTORY,List,6,ven_c63cbc0208b0,,Aetrio,,Furniture,,Furniture,,,,https://afifjayafurniture.com/shop/,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0007,LIST_DIRECTORY,List,7,ven_c63cbc0208b0,,Aetrio,,Sanitary,,,,,,https://aetrio.com,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0008,LIST_DIRECTORY,List,8,ven_76a4d65604ad,,Agglotech,,Finishing|Stones,,Stones,,,,https://mmgalleri.com/natural/?c=surabaya&material=marble,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0009,LIST_DIRECTORY,List,9,ven_f7070d57bbe5,,Agora,,Flooring|Stones,,Stones,,,,,https://drive.google.com/drive/folders/1NUWs7cJx0be8NGALtXlAHXKlEDZNEuFh?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0010,LIST_DIRECTORY,List,10,ven_68d29c339696,,Aiga,,Tiles|Mosaic,,Mosaic,,,,https://drive.google.com/file/d/1ERnQ27orJ5l4Q3zxWcQXdrDnfzEgq5HX/view?usp=drivesdk,https://drive.google.com/file/d/1J-v20LTKajuHL7NpbFjE3Bto_OMWqBZs/view?usp=drivesdk,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0011,LIST_DIRECTORY,List,11,ven_85f795e6c187,,Alco Blind,,Window|Roller Blind,,Roller Blind,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0012,LIST_DIRECTORY,List,12,ven_82150fbdf006,,Allegra,,Door & Window|Aluminium Door & Window,,Aluminium Door & Window,,,,https://alegraaluminio.com/products/,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0013,LIST_DIRECTORY,List,13,ven_e965b0293fa7,,Allurahomefabrics,,Fabric|Curtain|Cushions|Wallcovering|Upholstery|Rugs,,"Curtain, Cushions, Wallcovering, Upholstery, Rugs",,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0014,LIST_DIRECTORY,List,14,ven_6c22d8aee4be,,Almafloor,,Flooring|Vinyl - SPC,,Vinyl - SPC,,,,https://almaflor.id/images/e_catalog_all_new_duora_max_core.pdf,https://www.almaflor.id/images/Almaflor_E-catalog_2022.pdf,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0015,LIST_DIRECTORY,List,15,ven_4362c9e06613,,Aluveen,,Finishing|Aluminium Composite Panel,,Aluminium Composite Panel,,,,https://lapakarsitek.com/compro/brosur_aluminium_battens_2025.pdf?fbclid=PARlRTSAN1DElleHRuA2FlbQIxMAABpxFOii0ObZHFL04mGApCd9DLwpLqDhbDCo4bP6QKl-o1X0rj-yNQlGyqdO4t_aem_KLrA0Gp71j77-FtcXNs9bA,https://lapakarsitek.com/compro/EMI_ComPro_Eng.pdf?fbclid=PARlRTSAN1DLBleHRuA2FlbQIxMAABpxFOii0ObZHFL04mGApCd9DLwpLqDhbDCo4bP6QKl-o1X0rj-yNQlGyqdO4t_aem_KLrA0Gp71j77-FtcXNs9bA,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0016,LIST_DIRECTORY,List,16,ven_7ec85c46278e,,Amardeep Interior,,Fabric|Upholstery|Curtains|Sheers|Outdoor Fabric,,"Upholstery, Curtains, Sheers, Outdoor Fabric",,,,https://amardeepinterior.com/upholstery-sofa/,https://drive.google.com/drive/folders/1HqoasCi-f7QPrCVBk-92BUNyeBTUTBrn?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0017,LIST_DIRECTORY,List,17,ven_155e8b073459,,Amidoorlight,,Lighting,,,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0018,LIST_DIRECTORY,List,18,ven_eaa1cfe59761,,Antikmebel,,Furniture|Loose Furniture (Sofa|Chair|Stool),,"Loose Furniture (Sofa, Chair, Stool)",,,,https://antikmebel.com/collections/armchair,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0019,LIST_DIRECTORY,List,19,ven_4482ca81f4e5,,Architech Indonesia,,Materials|Switch - Power Outlet,,Switch - Power Outlet,,,,https://www.tokopedia.com/architech-in?source=search-autocomplete.04.01.01&utm_medium=google&utm_source=https%3A%2F%2Fanalytics.google.com%2Fanalytics%2Fweb%2Fprovision%2F%23%2Fp444544963%2Freports%2Fexplorer%3Fparams%3D_u..nav%253dmaui%26r%3Decomm-product%26ruid%3Decomm-product%2Cbusiness-objectives%2Cdrive-online-sales%26collectionid%3Dbusiness-objectives&utm_campaign=tokopedia,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0020,LIST_DIRECTORY,List,20,ven_8eda3f28e9de,,Arcomarmer,,Finishing|Stones,,Stones,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0021,LIST_DIRECTORY,List,21,ven_8eda3f28e9de,,Arcomarmer,,Flooring|Marmer,,Marmer,,,,,,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
matcand_list_r0022,LIST_DIRECTORY,List,22,ven_f6a025a0224b,,Arde,,Fabric,,,,,,,https://drive.google.com/drive/folders/1pHeto5KWNk5eiQv7jOn3nXSw99hytXGL?usp=drive_link,,,,,,SKU eksplisit tidak tersedia; kolom Product adalah family/subkategori dan belum membuktikan nama produk/seri; Brand dan Vendor masih bercampur pada kolom Brand/Company,
