sample_candidate_key,source_sheet,source_row,source_no,source_category,source_brand,source_type,source_motif,vendor_key_candidate,vendor_key_confirmed,brand_confirmed,sku_confirmed,rack_number,box_number,quantity,status_candidate,current_borrower_name,notes,sample_status,blocker_reasons,decision_notes
sample_sheet1_r0004,Sheet1,4,1,Tile,Artile,Cosmo,spring,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_9dd44bd12f0f
sample_sheet1_r0005,Sheet1,5,2,Tile,Artile,Terrain,Montana,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_5769414557ec
sample_sheet1_r0006,Sheet1,6,3,Tile,Artile,Cosmo,Summer,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_af6dfbad2aed
sample_sheet1_r0007,Sheet1,7,4,Tile,Artile,Terrain,Gravel,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_6ef5d8e04e47
sample_sheet1_r0008,Sheet1,8,5,Tile,Artile,Cosmo,Winter,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_afc733641024
sample_sheet1_r0009,Sheet1,9,6,Tile,Artile,Cosmo,Blossom,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_9fc6f03f9c31
sample_sheet1_r0010,Sheet1,10,7,Tile,Artile,Forte,Colori,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_dc7aff87a746
sample_sheet1_r0011,Sheet1,11,8,Tile,Artile,Terrain,Brezza,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_a68664b2a8ce
sample_sheet1_r0012,Sheet1,12,9,Tile,Artile,Forte,Dusk,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_f9eab28842b2
sample_sheet1_r0013,Sheet1,13,10,Tile,Artile,Sanctuary,Sanctum,,,,,1,1,1,AVAILABLE,,,,Material belum tersedia dengan kunci Vendor + Brand + SKU; SKU sample tidak tersedia di sumber; Vendor belum match tepat,Material candidate: matcand_sample_8fa73167aa97
