severity,entity_type,source_sheet,source_row,source_key,issue_code,issue_detail,suggested_action
BLOCKER,Vendor,List,420,UNV,VENDOR_IDENTITY_UNPROVEN,"Baris hanya menyebut Brand/Company tanpa legal entity, kontak, telepon, alamat, website, atau Instagram.",Konfirmasi supplier/account; jangan otomatis memakai Brand sebagai Vendor.
BLOCKER,Vendor,List,483,Arwana Ceramics,VENDOR_IDENTITY_UNPROVEN,"Baris hanya menyebut Brand/Company tanpa legal entity, kontak, telepon, alamat, website, atau Instagram.",Konfirmasi supplier/account; jangan otomatis memakai Brand sebagai Vendor.
BLOCKER,Vendor,List,484,Roca,VENDOR_IDENTITY_UNPROVEN,"Baris hanya menyebut Brand/Company tanpa legal entity, kontak, telepon, alamat, website, atau Instagram.",Konfirmasi supplier/account; jangan otomatis memakai Brand sebagai Vendor.
WARN,Vendor,List,110;111,Diverso,VENDOR_FIELD_CONFLICT,address memiliki alternatif: Bali,Nilai paling sering lalu paling awal dipakai; review sebelum apply.
WARN,Vendor,List,307;308,Oslo,VENDOR_FIELD_CONFLICT,address memiliki alternatif: Jakarta,Nilai paling sering lalu paling awal dipakai; review sebelum apply.
WARN,Vendor,List,329;330,Prive Furniture,VENDOR_FIELD_CONFLICT,address memiliki alternatif: Jakarta,Nilai paling sering lalu paling awal dipakai; review sebelum apply.
WARN,VendorContact,List,93,Creative Lighting Asia,CONTACT_LABEL_MISSING,"Nomor +85228159168 ada, tetapi nama/label Contact kosong.",Isi nama orang/departemen; importer tidak membuat label palsu.
WARN,VendorLink,List,7,Aetrio,LINK_NOT_HTTP_URL,Drive/folder katalog: KATALOG AETRIO 2025.pdf,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,13,Allurahomefabrics,LINK_NOT_HTTP_URL,Drive/folder katalog: Allurahomefabrics,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,17,Amidoorlight,LINK_NOT_HTTP_URL,Drive/folder katalog: Amidoorlight,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,44,Bata Antasari 34,LINK_NOT_HTTP_URL,Drive/folder katalog: Katalog Antasari Update (3 April).pdf,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,54,Beninca,LINK_NOT_HTTP_URL,Drive/folder katalog: Brochure LCK 2025.pdf,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,56,Beyond Floor,LINK_NOT_HTTP_URL,Drive/folder katalog: Beyond Floor,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,63,Bottega Artisan,LINK_NOT_HTTP_URL,Website: www.bottegaartisan.com,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,69,Brewsuniq Space,LINK_NOT_HTTP_URL,Drive/folder katalog: Brewsuniq Space Catalogue_2024.pdf,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,78,Centralite,LINK_NOT_HTTP_URL,Drive/folder katalog: Centralite,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,114,Dormakaba Group,LINK_NOT_HTTP_URL,Drive/folder katalog: Dormakaba Group,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
WARN,VendorLink,List,129,Evergreen Trees,LINK_NOT_HTTP_URL,Drive/folder katalog: CATALOG EVERGREEN TREES,Konfirmasi URL lengkap; file/teks relatif tidak diimpor sebagai link.
